order_number,manufacturer_name,purchase_price,handling_fee,photo_fee
03-12271-10072,ホンダ,8900,1220,
26-12246-36773,三菱,5700,1000,440
03-12273-02428,トヨタ,11300,1000,
17-12257-82394,トヨタ,5200,1000,
16-12259-40078,ホンダ,800,1000,440
25-12250-68830,トヨタ,5200,1000,
20-12257-14222,トヨタ,1700,1000,440
25-12253-48942,トヨタ,1700,1000,
16-12263-66307,ホンダ,900,1000,440
23-12257-20567,ホンダ,2500,1000,
27-12253-92790,ホンダ,1600,1000,440
18-12265-72057,ホンダ,6400,1000,440
25-12259-44497,トヨタ,2700,1000,440
22-12265-02988,ヤマハ,2900,1000,440
01-12307-07414,ホンダ,900,1000,
20-12270-63264,トヨタ,1700,1000,
16-12274-97596,ホンダ,6800,1000,440
03-12295-91419,マツダ,17700,1220,
05-12296-88608,ホンダ,1600,1000,
18-12283-57115,ヤマハ,3700,1000,440
04-12299-38335,ホンダ,900,1000,
07-12299-73841,トヨタ,1700,1000,
20-12289-10430,ホンダ,8000,1000,
12-12301-37065,トヨタ,3400,1000,
10-12305-80519,トヨタ,3400,1000,440
26-12289-52497,ホンダ,8900,1000,
04-12316-58884,トヨタ,2700,1000,
05-12318-86344,ホンダ,1900,1000,
03-12322-10241,ホンダ,1600,1000,
17-12307-72247,トヨタ,7200,1220,
23-12302-78587,ホンダ,5000,1000,
01-12329-24090,トヨタ,16800,1000,
04-12328-41099,ホンダ,6300,1000,440
16-12317-13546,トヨタ,4000,1000,440
18-12316-98991,ホンダ,7300,1000,
26-12310-19166,トヨタ,2700,1000,
07-12333-31590,マツダ,17700,1000,
21-12319-16073,ホンダ,1600,1000,
24-12330-85049,ホンダ,1600,1000,440
25-12317-31450,トヨタ,5200,1000,
12-12332-99652,ホンダ,13500,1000,
13-12336-84955,ホンダ,900,1000,
01-12350-94974,ホンダ,,1000,
01-12351-53099,ホンダ,6300,1220,
23-12327-78838,ホンダ,5000,1000,
09-12343-59642,トヨタ,2700,1000,
15-12338-17472,三菱,400,1000,440
17-12337-62921,ホンダ,8900,1000,
20-12338-81100,三菱,5700,1000,440
11-12350-14682,トヨタ,4000,1000,
02-12362-47872,トヨタ,5200,1000,
07-12359-03719,三菱,2400,1000,440
23-12342-05612,ヤマハ,2500,1000,440
25-12339-96873,トヨタ,5200,1000,
23-12342-14759,ホンダ,3900,1000,440
16-12350-91734,トヨタ,1700,1000,
15-12360-12107,ホンダ,4300,1000,440
11-12364-64369,ホンダ,6500,1220,
11-12370-15815,ホンダ,1900,1000,
13-12370-19946,トヨタ,5200,1000,
01-12384-24729,トヨタ,11300,1000,
03-12383-70155,トヨタ,4700,1000,440
25-12363-89423,ホンダ,1600,1000,
11-12379-73447,トヨタ,400,1000,440
01-12394-23430,ホンダ,1600,1000,
